step,charts/episodic_return_mean,charts/episodic_return_mean_eval,track,method,experiment
16384,0.4722222089767456,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
32768,0.7368420958518982,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
49152,1.5675675868988037,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
65536,0.859649121761322,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
81920,1.1956521272659302,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
98304,0.5471698045730591,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
114688,0.6666666865348816,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
131072,1.2580645084381104,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
147456,0.9189189076423645,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
163840,1.3428571224212646,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
180224,1.575757622718811,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
196608,1.324324369430542,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
212992,0.8529411554336548,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
229376,1.0370370149612427,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
245760,0.8461538553237915,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
262144,0.8857142925262451,0.84375,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
278528,0.6388888955116272,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
294912,1.2333333492279053,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
311296,0.7941176295280457,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
327680,0.6764705777168274,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
344064,0.9459459185600281,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
360448,1.9310344457626343,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
376832,1.46875,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
393216,0.8679245114326477,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
409600,2.724138021469116,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
425984,1.5945945978164673,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
442368,1.75,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
458752,2.1666667461395264,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
475136,1.5102040767669678,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
491520,1.3953487873077393,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
507904,2.5,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
524288,2.133333444595337,2.04296875,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
540672,2.2571427822113037,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
557056,2.9767441749572754,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
573440,1.7999999523162842,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
589824,2.5,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
606208,1.7027027606964111,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
622592,3.5405404567718506,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
638976,3.090909004211426,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
655360,4.0333333015441895,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
671744,2.222222328186035,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
688128,2.5999999046325684,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
704512,3.230769157409668,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
720896,2.75,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
737280,1.7999999523162842,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
753664,4.129629611968994,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
770048,1.7872340679168701,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
786432,4.1724138259887695,2.61328125,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
802816,4.266666889190674,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
819200,2.0,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
835584,2.1666667461395264,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
851968,2.1694915294647217,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
868352,1.4444444179534912,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
884736,2.242424249649048,,gen,4x4_mixer_detached_entropy,miner_does_detached_entropy_help_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681245275
