step,charts/episodic_return_mean,charts/episodic_return_mean_eval,track,method,experiment
16384,3.3333332538604736,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
32768,3.3333332538604736,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
49152,3.472222328186035,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
65536,2.307692289352417,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
81920,3.257575750350952,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
98304,3.269230842590332,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
114688,2.95652174949646,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
131072,3.0991735458374023,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
147456,3.9215686321258545,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
163840,3.4275617599487305,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
180224,3.672131061553955,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
196608,3.5616438388824463,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
212992,4.0,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
229376,3.449197769165039,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
245760,3.1693990230560303,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
262144,4.335106372833252,4.083969593048096,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
278528,4.016172409057617,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
294912,4.24403190612793,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
311296,3.71052622795105,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
327680,4.189944267272949,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
344064,4.164306163787842,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
360448,4.552845478057861,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
376832,4.038461685180664,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
393216,4.0826873779296875,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
409600,4.463006973266602,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
425984,4.605597972869873,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
442368,4.32692289352417,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
458752,4.295774459838867,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
475136,4.455205917358398,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
