step,charts/episodic_return_mean,charts/episodic_return_mean_eval,track,method,experiment
16384,5.789473533630371,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
32768,4.776119232177734,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
49152,5.384615421295166,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
65536,5.094339847564697,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
81920,5.145630836486816,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
98304,5.800000190734863,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
114688,5.337423324584961,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
131072,5.398773193359375,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
147456,4.907975673675537,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
163840,5.898876190185547,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
180224,6.122448921203613,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
196608,6.6019415855407715,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
212992,6.666666507720947,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
229376,6.422018527984619,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
245760,6.192468643188477,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
262144,6.63755464553833,5.546875,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
278528,6.806722640991211,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
294912,5.560165882110596,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
311296,7.131147384643555,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
327680,6.906779766082764,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
344064,6.388888835906982,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
360448,6.626016139984131,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
376832,6.778242588043213,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
393216,6.425703048706055,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
409600,6.551723957061768,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
425984,6.355555534362793,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
442368,6.593886375427246,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
458752,6.305221080780029,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
475136,6.3562750816345215,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
491520,6.3839287757873535,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
507904,6.751054763793945,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
524288,6.623376846313477,6.328125,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
540672,6.4347825050354,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
557056,6.390244007110596,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
573440,6.6331658363342285,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
589824,6.697247505187988,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
606208,6.333333492279053,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
622592,6.875,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
638976,6.488888740539551,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
655360,6.636771202087402,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
671744,6.556016445159912,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
688128,6.983470916748047,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
704512,6.9819817543029785,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
720896,6.511627674102783,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
737280,6.778242588043213,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
753664,6.3839287757873535,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
770048,6.161137580871582,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
786432,6.304347991943359,6.4453125,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
802816,7.031963348388672,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
819200,6.467889785766602,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
835584,6.697247505187988,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
851968,6.952381134033203,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
868352,6.464646339416504,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
884736,6.509433746337891,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
901120,6.470588207244873,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
917504,6.572770118713379,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
933888,6.712963104248047,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
950272,6.880000114440918,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
966656,5.641025543212891,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
983040,6.679245471954346,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
999424,6.7588934898376465,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
1015808,7.220077037811279,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
1032192,7.199999809265137,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
1048576,6.973180294036865,6.498054504394531,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
1064960,6.468254089355469,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
1081344,6.680850982666016,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
1097728,7.5,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
1114112,7.309237003326416,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
1130496,6.542750835418701,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
1146880,6.900369167327881,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
1163264,7.5,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
1179648,7.054263591766357,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
1196032,6.9140625,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
1212416,7.239999771118164,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
1228800,7.213740348815918,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
1245184,6.8200836181640625,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
1261568,7.3643412590026855,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
1277952,7.265305995941162,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
1294336,6.72862434387207,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
1310720,6.75,7.0038909912109375,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
1327104,7.491408824920654,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
1343488,6.964285850524902,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
1359872,7.483221530914307,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
1376256,7.580070972442627,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
1392640,7.230769157409668,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
1409024,7.16417932510376,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
1425408,7.096774101257324,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
1441792,7.541666507720947,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
1458176,7.416666507720947,,gen,mixer_sigmoid_individual_entropy_623k_params,coinrun_detached_log_prob_mul2_agent=mixer-sigmoid-individual-entropy_seed=0_time=1681118331
